N	P	M	v0	beta	num_steps
10	50	48	2.000000e-01	7.000000e-01	10000
i	V_beta	h^2	Acc.
366	1.506526e+00	3.880375e+04	1
367	1.582790e+00	3.584245e+04	1
368	1.538690e+00	3.192047e+04	1
369	1.633920e+00	3.622665e+04	1
370	1.625470e+00	3.289708e+04	1
371	1.747940e+00	3.593505e+04	1
372	1.692446e+00	3.702565e+04	1
373	1.682323e+00	3.676853e+04	1
374	1.765921e+00	3.326947e+04	1
375	1.779630e+00	3.750768e+04	1
376	1.806480e+00	3.958731e+04	1
377	1.809557e+00	4.079117e+04	1
378	2.012482e+00	3.853772e+04	1
379	2.204731e+00	3.678353e+04	1
380	2.389858e+00	3.533133e+04	1
381	2.389858e+00	4.167342e+04	0
382	2.389858e+00	4.743317e+04	0
383	2.264892e+00	3.590934e+04	1
384	2.264892e+00	3.607642e+04	0
385	2.295037e+00	3.433590e+04	1
386	2.280471e+00	3.087410e+04	1
387	2.326523e+00	3.928125e+04	1
388	2.300360e+00	3.699874e+04	1
389	2.258067e+00	4.137279e+04	1
390	2.287084e+00	3.275988e+04	1
391	2.322832e+00	3.872122e+04	1
392	2.200690e+00	4.110595e+04	1
393	2.211002e+00	3.426727e+04	1
394	2.289374e+00	3.436317e+04	1
395	2.189703e+00	4.171614e+04	1
396	2.111675e+00	3.679230e+04	1
397	2.297983e+00	4.229471e+04	1
398	2.162178e+00	3.799991e+04	1
399	2.101211e+00	3.638824e+04	1
400	2.047328e+00	3.681020e+04	1
401	1.877129e+00	4.076019e+04	1
402	1.861378e+00	3.589106e+04	1
403	1.861378e+00	4.150493e+04	0
404	1.798961e+00	3.700582e+04	1
405	1.822178e+00	3.646167e+04	1
406	1.745462e+00	3.721419e+04	1
407	1.819339e+00	3.557599e+04	1
408	1.848444e+00	3.476911e+04	1
409	1.847612e+00	3.494898e+04	1
410	2.012419e+00	3.491742e+04	1
411	2.102143e+00	3.750901e+04	1
412	2.187689e+00	4.038736e+04	1
413	2.003055e+00	3.674843e+04	1
414	2.013215e+00	4.018443e+04	1
415	2.043003e+00	3.902797e+04	1
416	2.181640e+00	3.684646e+04	1
417	2.103746e+00	3.408594e+04	1
418	2.044686e+00	3.504851e+04	1
419	2.134432e+00	3.654474e+04	1
420	2.152592e+00	3.446856e+04	1
421	2.146038e+00	3.945632e+04	1
422	2.259156e+00	3.906561e+04	1
423	2.166318e+00	3.725614e+04	1
424	2.269256e+00	3.631024e+04	1
425	2.410838e+00	3.819981e+04	1
426	2.389671e+00	3.341486e+04	1
427	2.389671e+00	3.517665e+04	0
428	2.238854e+00	3.600457e+04	1
429	2.134787e+00	3.153706e+04	1
430	2.142242e+00	3.841047e+04	1
431	2.068111e+00	3.190436e+04	1
432	2.044704e+00	3.628933e+04	1
433	2.088149e+00	3.736740e+04	1
434	1.877104e+00	3.642460e+04	1
435	1.697339e+00	3.633159e+04	1
436	1.700752e+00	3.628004e+04	1
437	1.688056e+00	3.557230e+04	1
438	1.688056e+00	3.901765e+04	0
439	1.758236e+00	3.592405e+04	1
440	1.611024e+00	3.781674e+04	1
441	1.683642e+00	3.356737e+04	1
442	1.782728e+00	4.017861e+04	1
443	1.782728e+00	4.378729e+04	0
444	1.829694e+00	3.621712e+04	1
445	1.858969e+00	4.073792e+04	1
446	2.027270e+00	3.124855e+04	1
447	1.998288e+00	4.114047e+04	1
448	1.941440e+00	3.699923e+04	1
449	2.000702e+00	3.554298e+04	1
450	2.006919e+00	3.590345e+04	1
451	1.948882e+00	3.508246e+04	1
452	1.921225e+00	4.066389e+04	1
453	1.830060e+00	4.005641e+04	1
454	1.790178e+00	4.212058e+04	1
455	1.893725e+00	3.755263e+04	1
456	1.832429e+00	3.782490e+04	1
457	1.802380e+00	3.686791e+04	1
458	1.733303e+00	3.498437e+04	1
459	1.829169e+00	4.183997e+04	1
460	1.898892e+00	3.793179e+04	1
461	2.030258e+00	3.619547e+04	1
462	2.102393e+00	3.958754e+04	1
463	2.086435e+00	3.784997e+04	1
464	2.061346e+00	3.951749e+04	1
465	2.216478e+00	4.072222e+04	1
466	2.235827e+00	3.512610e+04	1
467	2.140982e+00	3.601190e+04	1
468	2.045583e+00	3.580162e+04	1
469	2.128500e+00	3.817173e+04	1
470	2.182073e+00	4.134005e+04	1
471	2.132117e+00	3.719786e+04	1
472	2.256987e+00	3.480852e+04	1
473	2.370851e+00	3.192788e+04	1
474	2.519550e+00	3.829332e+04	1
475	2.594802e+00	3.497862e+04	1
476	2.527922e+00	4.022668e+04	1
477	2.450282e+00	3.817064e+04	1
478	2.461237e+00	3.413778e+04	1
479	2.538251e+00	4.295216e+04	1
480	2.621904e+00	3.656245e+04	1
481	2.792763e+00	3.640738e+04	1
482	2.792763e+00	3.838017e+04	0
483	2.967263e+00	3.701845e+04	1
484	2.832715e+00	4.036255e+04	1
485	2.831831e+00	4.098591e+04	1
486	2.859667e+00	4.211624e+04	1
487	2.774862e+00	3.976767e+04	1
488	2.672422e+00	3.502870e+04	1
489	2.723815e+00	3.460351e+04	1
490	2.723815e+00	3.686370e+04	0
491	2.677224e+00	3.834833e+04	1
492	2.595317e+00	3.828578e+04	1
493	2.631951e+00	3.792679e+04	1
494	2.685355e+00	3.687445e+04	1
495	2.533144e+00	3.955700e+04	1
496	2.629326e+00	3.983146e+04	1
497	2.605422e+00	3.935274e+04	1
498	2.634433e+00	3.945709e+04	1
499	2.696680e+00	3.418299e+04	1
500	2.777792e+00	3.996343e+04	1
501	2.835643e+00	3.741759e+04	1
502	2.835643e+00	3.790273e+04	0
503	2.600669e+00	3.627877e+04	1
504	2.600669e+00	3.745707e+04	0
505	2.600669e+00	4.324392e+04	0
506	2.507561e+00	3.932753e+04	1
507	2.552961e+00	3.812226e+04	1
508	2.438900e+00	3.766951e+04	1
509	2.336322e+00	3.537062e+04	1
510	2.274470e+00	3.728333e+04	1
511	2.198787e+00	3.959197e+04	1
512	2.198787e+00	3.598682e+04	0
513	2.275214e+00	3.849390e+04	1
514	2.338339e+00	3.459668e+04	1
515	2.463047e+00	3.979624e+04	1
516	2.539352e+00	3.462634e+04	1
517	2.500469e+00	4.038337e+04	1
518	2.446919e+00	3.675134e+04	1
519	2.277600e+00	3.808343e+04	1
520	2.128959e+00	3.381159e+04	1
521	2.227546e+00	3.948987e+04	1
522	2.226912e+00	3.941138e+04	1
523	2.226912e+00	4.148055e+04	0
524	2.116965e+00	3.925440e+04	1
525	2.036805e+00	3.689174e+04	1
526	2.036805e+00	4.102274e+04	0
527	2.051364e+00	3.349785e+04	1
528	2.135975e+00	3.624278e+04	1
529	2.074780e+00	3.648822e+04	1
530	2.250486e+00	4.017627e+04	1
531	2.227483e+00	3.778463e+04	1
532	2.251421e+00	3.825482e+04	1
533	2.180065e+00	3.869206e+04	1
534	2.250249e+00	3.986909e+04	1
535	2.199517e+00	4.005716e+04	1
536	2.089803e+00	3.580141e+04	1
537	2.073432e+00	4.200938e+04	1
538	2.160305e+00	3.846097e+04	1
539	2.274057e+00	4.104309e+04	1
540	2.117059e+00	3.288893e+04	1
541	2.112836e+00	3.873257e+04	1
542	2.123504e+00	4.058686e+04	1
543	2.033905e+00	4.439166e+04	1
544	2.069164e+00	4.112355e+04	1
545	2.215584e+00	3.584878e+04	1
546	2.215584e+00	3.927225e+04	0
547	2.215584e+00	3.599841e+04	0
548	2.208854e+00	3.730281e+04	1
549	2.169608e+00	4.015771e+04	1
550	2.112365e+00	3.915757e+04	1
551	2.071630e+00	3.828711e+04	1
552	2.038181e+00	3.771228e+04	1
553	2.029728e+00	3.980661e+04	1
554	2.029728e+00	4.345273e+04	0
555	1.916937e+00	3.715528e+04	1
556	1.980227e+00	4.007549e+04	1
557	2.002684e+00	4.036132e+04	1
558	1.909987e+00	4.054936e+04	1
559	1.865573e+00	4.050923e+04	1
560	1.807893e+00	4.114775e+04	1
561	1.855405e+00	3.753497e+04	1
562	2.030740e+00	3.922335e+04	1
563	2.041614e+00	3.717818e+04	1
564	1.970658e+00	3.956638e+04	1
565	2.011797e+00	3.827529e+04	1
566	1.819405e+00	3.566419e+04	1
567	1.879995e+00	3.815067e+04	1
568	1.789340e+00	3.637963e+04	1
569	1.785886e+00	3.835328e+04	1
570	1.909855e+00	4.037324e+04	1
