N	P	M	v0	beta	num_steps
10	50	47	2.000000e-01	7.000000e-01	50000
i	V_beta	h^2	H_{HMC}	h	Acc.
251	2.237930e+00	1.851037e+00	3.987200e+04	1.183689e+00	1
252	2.237930e+00	1.851037e+00	4.044433e+04	1.183689e+00	0
253	2.058970e+00	1.935053e+00	3.296982e+04	9.165518e-01	1
254	1.922852e+00	2.074926e+00	3.468780e+04	1.111325e+00	1
255	1.950342e+00	2.168023e+00	3.618216e+04	7.812958e-01	1
256	1.843158e+00	2.446586e+00	3.598375e+04	1.062923e+00	1
257	2.169857e+00	2.470860e+00	3.861807e+04	1.159215e+00	1
258	2.143597e+00	2.784797e+00	3.575845e+04	1.334465e+00	1
259	2.185272e+00	2.711225e+00	3.345040e+04	1.210536e+00	1
260	2.259482e+00	1.834062e+00	3.597554e+04	1.293157e+00	1
261	2.259482e+00	1.834062e+00	3.766818e+04	1.293157e+00	0
262	2.228333e+00	1.734837e+00	3.004414e+04	1.281632e+00	1
263	2.057228e+00	2.407764e+00	3.573895e+04	1.118820e+00	1
264	1.945424e+00	2.084041e+00	4.261123e+04	9.986359e-01	1
265	1.914933e+00	2.234894e+00	4.111357e+04	1.147723e+00	1
266	1.681735e+00	2.510586e+00	3.883317e+04	1.034986e+00	1
267	1.570392e+00	2.243141e+00	3.266729e+04	1.204620e+00	1
268	1.557479e+00	1.740856e+00	3.454995e+04	9.995820e-01	1
269	1.539284e+00	2.524965e+00	3.589306e+04	8.318175e-01	1
270	1.657926e+00	2.738437e+00	3.757341e+04	7.945516e-01	1
271	1.655954e+00	3.472291e+00	3.547594e+04	8.393113e-01	1
272	1.668666e+00	3.225782e+00	3.293974e+04	7.590459e-01	1
273	1.668666e+00	3.225782e+00	3.682360e+04	7.590459e-01	0
274	1.694171e+00	3.579974e+00	3.480468e+04	8.369913e-01	1
275	1.831375e+00	3.780799e+00	3.946649e+04	8.440848e-01	1
276	1.835010e+00	3.776210e+00	3.930895e+04	9.766586e-01	1
277	1.818938e+00	4.488138e+00	3.172345e+04	9.801734e-01	1
278	1.828984e+00	5.375692e+00	3.595986e+04	1.010626e+00	1
279	1.846459e+00	4.029404e+00	4.230078e+04	1.049381e+00	1
280	1.961917e+00	4.145663e+00	3.736261e+04	1.128680e+00	1
281	1.891244e+00	4.411159e+00	3.795615e+04	1.124226e+00	1
282	1.850608e+00	4.069597e+00	3.610182e+04	1.170415e+00	1
283	1.824947e+00	4.362134e+00	3.595775e+04	1.105854e+00	1
284	1.824947e+00	4.362134e+00	4.317560e+04	1.105854e+00	0
285	1.817723e+00	4.271692e+00	2.961704e+04	9.007568e-01	1
286	1.910729e+00	3.537389e+00	3.085124e+04	7.280965e-01	1
287	2.115051e+00	3.480547e+00	3.628152e+04	4.815058e-01	1
288	2.115455e+00	3.517568e+00	4.111862e+04	4.514881e-01	1
289	2.177788e+00	3.619262e+00	4.075936e+04	3.258172e-01	1
290	2.272567e+00	3.872872e+00	3.698827e+04	4.916109e-01	1
291	2.221787e+00	4.214042e+00	3.492927e+04	7.633078e-01	1
292	2.189320e+00	4.545642e+00	3.866382e+04	7.445472e-01	1
293	2.218842e+00	3.997532e+00	3.465049e+04	7.937183e-01	1
294	2.267503e+00	4.100566e+00	3.941184e+04	6.899161e-01	1
295	2.276886e+00	4.001409e+00	3.521945e+04	6.016301e-01	1
296	2.192745e+00	4.601931e+00	3.788425e+04	5.939923e-01	1
297	2.280064e+00	3.577438e+00	3.695486e+04	5.083042e-01	1
298	2.107410e+00	3.317034e+00	4.038216e+04	5.030166e-01	1
299	2.080718e+00	2.863607e+00	3.878491e+04	6.729853e-01	1
300	2.171638e+00	2.417219e+00	3.790741e+04	4.540185e-01	1
301	2.059936e+00	2.751439e+00	3.772586e+04	5.767229e-01	1
302	2.178663e+00	2.464297e+00	3.283208e+04	7.558646e-01	1
303	2.104828e+00	2.254159e+00	4.367714e+04	8.740326e-01	1
304	2.002995e+00	2.496231e+00	3.888295e+04	7.035182e-01	1
305	1.996028e+00	2.108415e+00	3.504115e+04	7.144389e-01	1
306	1.775033e+00	2.252874e+00	3.562590e+04	5.964727e-01	1
307	1.834048e+00	2.489180e+00	3.551657e+04	4.590268e-01	1
308	1.850433e+00	2.291882e+00	3.954944e+04	2.646576e-01	1
309	1.935776e+00	2.275601e+00	3.855631e+04	5.017003e-01	1
310	2.143327e+00	1.786069e+00	4.250397e+04	2.502766e-01	1
311	2.124600e+00	2.014486e+00	3.552948e+04	1.769897e-01	1
312	2.015130e+00	1.303481e+00	3.287690e+04	1.280387e-01	1
313	2.015130e+00	1.303481e+00	4.028514e+04	1.280387e-01	0
314	2.015130e+00	1.303481e+00	3.963701e+04	1.280387e-01	0
315	2.167403e+00	1.694488e+00	3.262335e+04	9.573143e-02	1
316	2.078622e+00	2.154820e+00	3.756811e+04	2.762584e-02	1
317	2.040272e+00	2.628583e+00	3.656061e+04	-5.843179e-02	1
318	2.076964e+00	2.785622e+00	3.089961e+04	-1.270614e-01	1
319	2.033316e+00	2.067234e+00	3.710510e+04	-6.284192e-02	1
320	2.033316e+00	2.067234e+00	3.802170e+04	-6.284192e-02	0
321	2.091557e+00	1.901032e+00	3.292194e+04	4.482404e-02	1
322	2.149807e+00	1.561960e+00	3.770996e+04	2.746384e-01	1
323	2.131178e+00	8.361951e-01	3.386870e+04	3.457765e-01	1
324	1.865731e+00	1.448882e+00	3.927296e+04	1.776148e-01	1
325	1.849902e+00	1.124562e+00	3.071178e+04	1.351938e-01	1
326	1.758767e+00	1.309282e+00	3.853279e+04	8.873726e-02	1
327	1.700057e+00	1.250747e+00	4.025498e+04	1.576738e-01	1
328	1.770827e+00	1.150777e+00	3.701028e+04	7.213753e-02	1
329	1.770827e+00	1.150777e+00	3.990951e+04	7.213753e-02	0
330	1.850582e+00	1.727845e+00	3.821488e+04	1.283236e-01	1
331	1.788233e+00	2.429008e+00	3.939183e+04	2.442737e-01	1
332	1.853659e+00	2.298394e+00	3.588144e+04	1.651146e-01	1
333	1.792313e+00	1.726451e+00	3.969291e+04	8.491497e-02	1
334	1.799155e+00	1.833722e+00	4.419649e+04	2.244584e-01	1
335	1.780284e+00	1.959049e+00	3.488913e+04	2.068496e-01	1
336	1.779023e+00	2.779484e+00	3.369968e+04	3.704236e-01	1
337	1.784958e+00	2.246815e+00	3.811835e+04	3.574507e-01	1
338	1.651536e+00	1.809507e+00	3.714404e+04	4.579150e-01	1
339	1.651536e+00	1.809507e+00	3.795484e+04	4.579150e-01	0
340	1.527864e+00	1.737934e+00	3.162107e+04	3.165476e-01	1
341	1.438740e+00	6.879409e-01	3.917628e+04	3.683432e-01	1
342	1.306131e+00	9.613407e-01	3.913037e+04	5.821011e-01	1
343	1.433363e+00	1.275078e+00	3.777343e+04	5.314268e-01	1
344	1.444921e+00	1.181084e+00	3.652015e+04	4.890684e-01	1
345	1.495071e+00	1.299359e+00	3.197770e+04	3.613097e-01	1
346	1.532102e+00	1.652060e+00	3.476064e+04	3.737650e-01	1
347	1.540090e+00	2.184529e+00	3.878000e+04	4.140792e-01	1
348	1.540090e+00	2.184529e+00	3.739435e+04	4.140792e-01	0
349	1.609946e+00	1.906709e+00	3.393055e+04	2.844809e-01	1
350	1.713253e+00	1.722165e+00	3.366538e+04	2.182494e-01	1
351	1.690624e+00	1.332183e+00	3.698661e+04	-4.970315e-02	1
352	1.838750e+00	1.650576e+00	3.971595e+04	1.960995e-01	1
353	1.798273e+00	1.046567e+00	3.399961e+04	-1.525572e-01	1
354	1.681529e+00	1.397448e+00	3.750381e+04	2.332293e-02	1
355	1.581882e+00	1.528489e+00	3.541885e+04	1.188128e-01	1
356	1.635294e+00	1.203723e+00	3.742532e+04	2.077142e-01	1
357	1.475337e+00	1.130463e+00	3.841944e+04	2.732086e-02	1
358	1.555017e+00	1.123168e+00	4.313640e+04	1.426429e-01	1
359	1.555017e+00	1.123168e+00	4.194127e+04	1.426429e-01	0
360	1.555017e+00	1.123168e+00	3.489378e+04	1.426429e-01	0
361	1.555017e+00	1.123168e+00	3.543400e+04	1.426429e-01	0
362	1.392620e+00	1.547986e+00	3.209846e+04	7.334135e-02	1
363	1.588143e+00	1.241396e+00	3.685321e+04	1.095177e-01	1
364	1.490966e+00	1.301804e+00	3.651915e+04	-1.251574e-01	1
365	1.494993e+00	1.539842e+00	3.464343e+04	-1.513484e-01	1
366	1.459606e+00	1.818515e+00	3.390308e+04	1.737102e-01	1
367	1.440444e+00	1.728262e+00	4.313180e+04	4.126743e-01	1
368	1.368194e+00	1.882083e+00	2.995991e+04	4.131783e-01	1
369	1.392025e+00	1.350446e+00	4.195820e+04	6.074434e-01	1
370	1.266882e+00	1.564822e+00	3.369316e+04	7.446433e-01	1
371	1.226428e+00	1.525458e+00	3.174398e+04	8.669564e-01	1
372	1.366998e+00	1.809380e+00	3.455298e+04	1.024065e+00	1
373	1.378373e+00	1.760957e+00	3.810102e+04	1.017618e+00	1
374	1.391345e+00	2.085754e+00	3.778571e+04	9.193729e-01	1
375	1.342074e+00	1.738051e+00	3.264379e+04	9.469476e-01	1
376	1.407100e+00	2.223005e+00	4.062016e+04	1.230626e+00	1
377	1.464436e+00	2.122405e+00	3.422230e+04	1.314917e+00	1
378	1.430738e+00	2.168156e+00	3.659088e+04	1.168227e+00	1
379	1.430738e+00	2.168156e+00	3.563587e+04	1.168227e+00	0
380	1.430738e+00	2.168156e+00	4.072685e+04	1.168227e+00	0
